Date,Transaction,WF Amount,Citi Amount,Uber Amount,WF,Citi,Uber
2019-09-04,,0.0,0.0,0.0,1460.55,295.55,357.69
2019-09-05,,0.0,15.0,25.0,1460.55,310.55,382.69
2019-09-06,,0.0,15.0,25.0,1460.55,325.55,407.69
2019-09-07, Rent,900.0,15.0,25.0,2360.55,340.55,432.69
2019-09-08,,0.0,15.0,25.0,2360.55,355.55,457.69
2019-09-09,,0.0,15.0,25.0,2360.55,370.55,482.69
2019-09-10, Annie's Wedding,-100.0,15.0,25.0,2260.55,385.55,507.69
2019-09-11,,0.0,15.0,25.0,2260.55,400.55,532.69
2019-09-12,,0.0,15.0,25.0,2260.55,415.55,557.69
2019-09-13,,0.0,15.0,25.0,2260.55,430.55,582.69
2019-09-14,,0.0,15.0,25.0,2260.55,445.55,607.69
2019-09-15,,0.0,15.0,25.0,2260.55,460.55,632.69
2019-09-16,,0.0,15.0,25.0,2260.55,475.55,657.69
2019-09-17,,0.0,15.0,25.0,2260.55,490.55,682.69
2019-09-18,,0.0,15.0,25.0,2260.55,505.55,707.69
2019-09-19,,0.0,15.0,25.0,2260.55,520.55,732.69
2019-09-20,,0.0,15.0,25.0,2260.55,535.55,757.69
2019-09-21,,0.0,15.0,25.0,2260.55,550.55,782.69
2019-09-22,,0.0,15.0,25.0,2260.55,565.55,807.69
2019-09-23,,0.0,15.0,25.0,2260.55,580.55,832.69
2019-09-24,,0.0,15.0,25.0,2260.55,595.55,857.69
2019-09-25,,0.0,15.0,25.0,2260.55,610.55,882.69
2019-09-26,,0.0,15.0,25.0,2260.55,625.55,907.69
2019-09-27,,0.0,15.0,25.0,2260.55,640.55,932.69
2019-09-28,,0.0,15.0,25.0,2260.55,655.55,957.69
2019-09-29,,0.0,15.0,25.0,2260.55,670.55,982.69
2019-09-30,,0.0,15.0,25.0,2260.55,685.55,1007.69
2019-10-01,,0.0,15.0,25.0,2260.55,700.55,1032.69
2019-10-02,,0.0,15.0,25.0,2260.55,715.55,1057.69
2019-10-03,,0.0,15.0,25.0,2260.55,730.55,1082.69
2019-10-04,,0.0,15.0,25.0,2260.55,745.55,1107.69
2019-10-05,,0.0,15.0,25.0,2260.55,760.55,1132.69
2019-10-06,,0.0,15.0,25.0,2260.55,775.55,1157.69
2019-10-07,,0.0,15.0,25.0,2260.55,790.55,1182.69
2019-10-08,,0.0,15.0,25.0,2260.55,805.55,1207.69
2019-10-09,,0.0,15.0,25.0,2260.55,820.55,1232.69
2019-10-10,,0.0,15.0,25.0,2260.55,835.55,1257.69
2019-10-11,,0.0,15.0,25.0,2260.55,850.55,1282.69
2019-10-12,,0.0,15.0,25.0,2260.55,865.55,1307.69
2019-10-13,,0.0,15.0,25.0,2260.55,880.55,1332.69
2019-10-14,,0.0,15.0,25.0,2260.55,895.55,1357.69
2019-10-15,,0.0,15.0,25.0,2260.55,910.55,1382.69
2019-10-16,,0.0,15.0,25.0,2260.55,925.55,1407.69
2019-10-17,,0.0,15.0,25.0,2260.55,940.55,1432.69
2019-10-18,,0.0,15.0,25.0,2260.55,955.55,1457.69
2019-10-19,,0.0,15.0,25.0,2260.55,970.55,1482.69
2019-10-20,,0.0,15.0,25.0,2260.55,985.55,1507.69
2019-10-21,,0.0,15.0,25.0,2260.55,1000.55,1532.69
2019-10-22,,0.0,15.0,25.0,2260.55,1015.55,1557.69
2019-10-23,,0.0,15.0,25.0,2260.55,1030.55,1582.69
2019-10-24,,0.0,15.0,25.0,2260.55,1045.55,1607.69
2019-10-25,,0.0,15.0,25.0,2260.55,1060.55,1632.69
2019-10-26,,0.0,15.0,25.0,2260.55,1075.55,1657.69
2019-10-27,,0.0,15.0,25.0,2260.55,1090.55,1682.69
2019-10-28,,0.0,15.0,25.0,2260.55,1105.55,1707.69
2019-10-29,,0.0,15.0,25.0,2260.55,1120.55,1732.69
2019-10-30,,0.0,15.0,25.0,2260.55,1135.55,1757.69
